Instant,WeekDay,Hour,Operators,LHDs,56 W,58 E,58 R,60 E,60 W,Buckets
1,1,6,0,0,0,0,0,0,0,0
2,1,7,0,0,0,0,0,0,0,0
3,1,8,0,0,0,0,0,0,0,0
4,1,9,0,0,0,0,0,0,0,0
5,1,10,0,0,0,0,0,0,0,0
6,1,11,0,0,0,0,0,0,0,0
7,1,12,0,0,0,0,0,0,0,0
8,1,13,0,0,0,0,0,0,0,0
9,1,14,0,0,0,0,0,0,0,0
10,1,15,0,0,0,0,0,0,0,0
11,1,16,0,0,0,0,0,0,0,0
12,1,17,0,0,0,0,0,0,0,0
13,1,18,0,0,0,0,0,0,0,0
14,1,19,0,0,0,0,0,0,0,0
15,1,20,0,0,0,0,0,0,0,0
16,1,21,0,0,0,0,0,0,0,0
17,1,22,2,0,0,0,0,0,0,0
18,1,23,6,0,0,0,0,0,0,0
19,2,0,1,0,0,0,0,0,0,0
20,2,1,5,0,0,0,0,0,0,0
21,2,2,1,0,7,4,5,0,13,25
22,2,3,4,0,11,0,11,0,2,13
23,2,4,7,1,1,1,1,9,21,33
24,2,5,3,0,3,2,1,1,29,36
25,2,6,6,0,0,0,0,0,0,0
26,2,7,1,0,0,2,0,7,2,11
27,2,8,7,4,0,1,0,16,17,34
28,2,9,10,4,6,10,11,5,8,37
29,2,10,1,1,0,0,4,2,5,11
30,2,11,3,4,0,0,5,2,12,19
31,2,12,6,5,11,2,2,2,10,25
32,2,13,1,0,2,0,2,5,25,32
33,2,14,4,0,0,0,0,0,0,0
34,2,15,11,4,0,0,0,2,17,19
35,2,16,6,4,2,0,5,1,19,25
36,2,17,8,1,1,2,0,1,14,18
37,2,18,6,1,1,0,0,2,7,12
38,2,19,2,3,0,0,0,19,13,32
39,2,20,7,3,0,0,0,34,3,37
40,2,21,1,2,7,24,8,1,1,38
41,2,22,10,0,2,0,0,1,38,43
42,2,23,1,1,13,0,10,4,12,32
43,3,0,2,6,7,15,9,7,11,44
44,3,1,2,4,3,1,1,10,8,32
45,3,2,6,2,11,3,2,22,14,50
46,3,3,1,1,0,5,0,15,12,32
47,3,4,11,5,1,1,3,2,21,28
48,3,5,11,1,1,0,1,5,18,24
49,3,6,3,0,0,0,0,0,0,0
50,3,7,5,0,0,0,0,0,0,0
51,3,8,6,2,3,0,3,26,10,39
52,3,9,8,3,0,0,0,11,12,23
53,3,10,11,3,2,0,3,0,21,24
54,3,11,9,6,0,1,1,8,17,28
55,3,12,11,4,7,0,0,29,0,37
56,3,13,9,2,2,0,0,17,7,26
57,3,14,5,0,0,0,0,0,0,0
58,3,15,12,1,11,0,8,20,4,44
59,3,16,3,1,0,0,4,14,23,41
60,3,17,10,2,13,7,9,16,11,48
61,3,18,8,5,0,0,0,8,20,28
62,3,19,11,3,4,2,0,1,6,13
63,3,20,1,6,0,0,0,9,29,38
64,3,21,8,0,1,2,4,3,5,14
65,3,22,6,5,2,0,7,16,23,46
66,3,23,10,0,0,3,0,1,37,41
67,4,0,8,3,1,4,1,11,1,24
68,4,1,12,4,0,4,1,6,0,11
69,4,2,1,4,1,3,2,6,4,15
70,4,3,5,4,0,5,3,2,7,23
71,4,4,2,4,0,0,3,2,21,26
72,4,5,12,1,2,0,4,1,19,24
73,4,6,2,0,0,0,0,0,0,0
74,4,7,5,0,1,0,4,18,5,27
75,4,8,2,5,0,0,0,1,12,13
76,4,9,3,6,0,0,0,0,33,33
77,4,10,2,2,1,8,1,14,1,32
78,4,11,8,5,1,8,1,3,7,19
79,4,12,5,2,2,1,6,19,0,28
80,4,13,11,5,0,1,1,9,26,39
81,4,14,3,0,0,0,0,0,0,0
82,4,15,7,1,0,0,0,1,18,19
83,4,16,8,5,6,3,14,0,18,35
84,4,17,9,2,4,0,6,1,10,18
85,4,18,9,5,0,0,3,8,11,23
86,4,19,10,1,4,0,4,4,12,23
87,4,20,3,3,0,0,0,3,30,33
88,4,21,4,0,0,0,0,0,0,0
89,4,22,6,0,1,2,1,4,42,49
90,4,23,7,1,8,1,3,0,15,24
91,5,0,10,3,0,1,0,2,34,37
92,5,1,10,6,0,0,0,2,29,31
93,5,2,6,1,9,1,1,26,12,48
94,5,3,4,3,0,2,0,4,34,40
95,5,4,12,5,22,0,37,0,5,42
96,5,5,10,0,1,0,1,2,9,13
97,5,6,5,0,0,0,0,0,0,0
98,5,7,6,0,0,0,0,0,0,0
99,5,8,4,0,0,4,1,18,16,39
100,5,9,8,0,4,6,8,0,7,21
101,5,10,11,3,0,3,0,4,42,49
102,5,11,10,4,0,0,1,2,28,31
103,5,12,5,0,10,4,13,9,2,28
104,5,13,10,0,6,0,6,5,18,29
105,5,14,2,0,0,0,0,0,0,0
106,5,15,5,5,0,0,3,2,26,31
107,5,16,5,2,0,4,0,27,9,47
108,5,17,2,2,3,0,0,0,22,30
109,5,18,4,6,7,10,10,10,11,43
110,5,19,8,3,0,4,0,1,23,28
111,5,20,10,6,2,0,2,1,10,13
112,5,21,1,4,2,9,13,17,1,40
113,5,22,8,0,0,0,1,4,16,21
114,5,23,2,1,2,0,2,1,23,27
115,6,0,9,5,2,1,2,2,28,33
116,6,1,4,1,1,1,1,5,12,19
117,6,2,6,6,2,1,3,0,22,26
118,6,3,3,5,1,2,0,2,9,19
119,6,4,12,2,3,1,13,0,9,25
120,6,5,5,3,0,0,0,24,22,50
121,6,6,8,0,0,0,0,0,0,0
122,6,7,7,0,14,8,1,4,10,38
123,6,8,3,2,2,0,5,10,31,46
124,6,9,7,2,5,3,6,3,35,48
125,6,10,1,5,0,0,0,1,25,26
126,6,11,8,2,0,0,3,9,10,22
127,6,12,4,1,1,1,4,5,26,39
128,6,13,8,2,6,18,0,20,0,47
129,6,14,3,0,0,0,0,0,0,0
130,6,15,9,6,0,0,0,0,18,18
131,6,16,3,5,0,0,0,24,8,32
132,6,17,12,1,8,0,9,14,8,36
133,6,18,6,3,11,1,23,1,10,35
134,6,19,7,3,1,0,0,1,8,12
135,6,20,6,2,1,2,1,3,13,20
136,6,21,4,5,4,2,3,16,4,30
137,6,22,5,0,0,0,1,8,5,14
138,6,23,10,2,0,0,0,4,6,10
139,7,0,5,5,12,8,7,4,2,39
140,7,1,10,6,0,0,0,12,3,15
141,7,2,7,2,0,0,0,1,39,40
142,7,3,10,1,0,7,1,10,6,31
143,7,4,5,6,0,0,0,2,36,38
144,7,5,9,0,0,0,0,0,0,0
145,7,6,8,0,0,0,0,0,0,0
146,7,7,8,0,0,0,0,0,0,0
147,7,8,10,0,0,0,0,0,0,0
148,7,9,9,0,0,0,0,0,0,0
149,7,10,3,0,0,0,0,0,0,0
150,7,11,7,0,3,1,3,8,37,49
151,7,12,12,0,0,0,0,0,0,0
