Instant,WeekDay,Hour,Operators,LHDs,56 W,58 E,58 R,60 E,60 W,Buckets
1,1,6,0,0,0,0,0,0,0,0
2,1,7,0,0,0,0,0,0,0,0
3,1,8,0,0,0,0,0,0,0,0
4,1,9,0,0,0,0,0,0,0,0
5,1,10,0,0,0,0,0,0,0,0
6,1,11,0,0,0,0,0,0,0,0
7,1,12,0,0,0,0,0,0,0,0
8,1,13,0,0,0,0,0,0,0,0
9,1,14,0,0,0,0,0,0,0,0
10,1,15,0,0,0,0,0,0,0,0
11,1,16,0,0,0,0,0,0,0,0
12,1,17,0,0,0,0,0,0,0,0
13,1,18,0,0,0,0,0,0,0,0
14,1,19,0,0,0,0,0,0,0,0
15,1,20,0,0,0,0,0,0,0,0
16,1,21,0,0,0,0,0,0,0,0
17,1,22,2,0,0,0,0,0,0,0
18,1,23,6,0,0,0,0,0,0,0
19,2,0,6,0,0,0,0,0,0,0
20,2,1,8,0,0,0,0,0,0,0
21,2,2,8,0,1,0,0,0,0,2
22,2,3,8,0,0.4,0,0.6,0,0,5
23,2,4,8,2,0,0.17,0.67,0.17,0,6
24,2,5,8,0,0,0,0,1,0,1
25,2,6,7,0,0,0,0,0,0,0
26,2,7,10,0,0,0,0,1,0,3
27,2,8,10,2,0,0,0.36,0.64,0,11
28,2,9,10,2,0,0,0.2,0.8,0,25
29,2,10,10,2,0,0,0.2,0.8,0,25
30,2,11,10,2,0.5,0,0,0.5,0,4
31,2,12,10,2,0.25,0,0.75,0,0,4
32,2,13,10,0,0,0,1,0,0,3
33,2,14,10,0,0,0,0,0,0,0
34,2,15,12,3,0.13,0,0,0.88,0,8
35,2,16,12,3,0.04,0,0.08,0.88,0,24
36,2,17,12,3,0,0,0.18,0.79,0.03,38
37,2,18,13,4,0.05,0,0.05,0.9,0,20
38,2,19,12,3,0.07,0,0,0.93,0,15
39,2,20,12,4,0.19,0,0,0.81,0,31
40,2,21,12,2,0.2,0,0,0.8,0,10
41,2,22,12,0,0,0,0,1,0,10
42,2,23,12,2,0,0,0,1,0,12
43,3,0,12,2,0,0,0,1,0,33
44,3,1,12,2,0,0,0,0.98,0.02,44
45,3,2,12,2,0,0,0,1,0,45
46,3,3,12,2,0,0,0,1,0,31
47,3,4,12,3,0,0,0.06,0.88,0.06,17
48,3,5,12,2,0,0,0,0.56,0.44,9
49,3,6,13,0,0,0,0,0,0,0
50,3,7,14,0,0,0,0,0,0,0
51,3,8,14,2,0,0,0,1,0,11
52,3,9,14,3,0,0.12,0.06,0.82,0,17
53,3,10,14,3,0,0.17,0,0.83,0,36
54,3,11,14,3,0,0,0.07,0.93,0,15
55,3,12,14,3,0,0.52,0.09,0.35,0.04,23
56,3,13,12,4,0.21,0.42,0.11,0.26,0,19
57,3,14,13,0,0,0,0,0,0,0
58,3,15,10,5,0.24,0,0.19,0.57,0,21
59,3,16,10,5,0.23,0,0.11,0.66,0,44
60,3,17,11,5,0.33,0,0.25,0.21,0.21,24
61,3,18,12,4,0.27,0,0,0.46,0.27,26
62,3,19,11,4,0.1,0,0.05,0.65,0.2,20
63,3,20,11,5,0.15,0,0,0.65,0.19,26
64,3,21,10,0,0,0,0,1,0,3
65,3,22,13,2,0,0,0,1,0,11
66,3,23,13,0,0,0,0,1,0,19
67,4,0,12,4,0.05,0.64,0,0.32,0,22
68,4,1,12,5,0.18,0.03,0,0.8,0,40
69,4,2,12,4,0.3,0,0,0.67,0.03,30
70,4,3,12,5,0.08,0.13,0.05,0.68,0.08,40
71,4,4,12,4,0.32,0,0,0.58,0.11,19
72,4,5,12,2,1,0,0,0,0,5
73,4,6,9,0,0,0,0,0,0,0
74,4,7,15,0,0,0,0,0,1,9
75,4,8,13,2,0,0,0,1,0,14
76,4,9,13,5,0.11,0,0.08,0.5,0.31,36
77,4,10,13,5,0.2,0,0.1,0.67,0.03,30
78,4,11,13,3,0,0.04,0,0.96,0,23
79,4,12,13,4,0.16,0.18,0,0.66,0,38
80,4,13,11,4,0.33,0,0,0.67,0,18
81,4,14,10,0,0,0,0,0,0,0
82,4,15,12,4,0.17,0,0.13,0.7,0,23
83,4,16,12,6,0.15,0.04,0.09,0.64,0.09,47
84,4,17,12,4,0.29,0,0,0.71,0,49
85,4,18,12,5,0.25,0,0,0.67,0.08,48
86,4,19,11,5,0.08,0,0,0.88,0.04,26
87,4,20,11,3,0,0.29,0,0.71,0,17
88,4,21,11,0,0,0,0,0,0,0
89,4,22,13,0,0,0,0,1,0,10
90,4,23,12,2,0,0.04,0,0.96,0,23
91,5,0,12,4,0,0.03,0.11,0.86,0,36
92,5,1,13,4,0,0,0.21,0.79,0,48
93,5,2,13,6,0.05,0.21,0.11,0.56,0.08,66
94,5,3,13,4,0,0,0.12,0.85,0.04,26
95,5,4,13,4,0,0,0.33,0.54,0.13,24
96,5,5,13,0,0,0,1,0,0,2
97,5,6,12,0,0,0,0,0,0,0
98,5,7,16,0,0,0,0,0,0,0
99,5,8,16,0,1,0,0,0,0,1
100,5,9,15,0,0,0,0,1,0,12
101,5,10,15,2,0,0,0,0.78,0.22,23
102,5,11,15,2,0,0,0,1,0,5
103,5,12,15,0,0,0,0,1,0,15
104,5,13,13,0,0,0,0,1,0,6
105,5,14,14,0,0,0,0,0,0,0
106,5,15,11,2,0,0,0,1,0,9
107,5,16,12,3,0,0,0,0.9,0.1,29
108,5,17,12,3,0,0,0,0.95,0.05,38
109,5,18,12,5,0.07,0,0,0.79,0.14,43
110,5,19,12,5,0.14,0,0,0.72,0.14,29
111,5,20,12,4,0.38,0,0,0.56,0.06,34
112,5,21,12,2,1,0,0,0,0,2
113,5,22,11,0,0.2,0,0,0.8,0,5
114,5,23,13,4,0.03,0.5,0.13,0.34,0,32
115,6,0,13,6,0.21,0.13,0.18,0.33,0.15,39
116,6,1,13,6,0.24,0.06,0.1,0.53,0.08,51
117,6,2,13,6,0.28,0,0.11,0.57,0.04,47
118,6,3,13,4,0.24,0,0.18,0.59,0,17
119,6,4,13,5,0.34,0.14,0.14,0.29,0.09,35
120,6,5,12,4,0.4,0,0.07,0.53,0,15
121,6,6,12,0,0,0,0,0,0,0
122,6,7,15,0,0,1,0,0,0,5
123,6,8,14,3,0,0.34,0.05,0.61,0,38
124,6,9,14,2,0,0,0,1,0,25
125,6,10,13,2,0,0,0,1,0,25
126,6,11,13,3,0,0,0.27,0.73,0,11
127,6,12,13,3,0.19,0,0.22,0.59,0,27
128,6,13,13,3,0.31,0,0.08,0.62,0,13
129,6,14,9,0,0,0,0,0,0,0
130,6,15,12,3,0.4,0,0.3,0.3,0,10
131,6,16,12,4,0.15,0,0.18,0.67,0,39
132,6,17,12,2,0,0,0.24,0.72,0.04,25
