Instant,WeekDay,Hour,Operators,LHDs,56 W,58 E,58 R,60 E,60 W,Buckets
1,7,6,8,0,0,0,0,0,0,0
2,7,7,11,0,0,1,0,0,0,6
3,7,8,11,3,0,0.47,0,0.53,0,47
4,7,9,11,3,0,0.59,0,0.41,0,49
5,7,10,11,3,0,0.5,0,0.5,0,40
6,7,11,11,4,0,0.42,0,0.58,0,64
7,7,12,11,2,0,0,0,1,0,15
8,7,13,11,0,0,0,0,0,0,0
9,7,14,5,0,0,0,0,0,0,0
10,7,15,3,0,0,0,0,0,0,0
11,7,16,3,0,0,0,0,0,0,0
12,7,17,4,0,0,0,0,0,0,0
13,7,18,3,0,0,0,0,0,0,0
14,7,19,3,0,0,0,0,0,0,0
15,7,20,3,0,0,0,0,0,0,0
16,7,21,3,0,0,0,0,0,0,0
17,7,22,12,0,0,0,0,0,0,0
18,7,23,12,2,0,0.79,0,0,0.21,24
19,1,0,12,6,0,0.49,0,0.45,0.06,69
20,1,1,12,6,0,0.57,0,0.38,0.05,61
21,1,2,12,4,0,0.23,0,0.77,0,26
22,1,3,12,4,0,0.26,0,0.74,0,38
23,1,4,12,2,0,0.05,0,0.95,0,21
24,1,5,11,0,0,0,0,0,0,0
25,1,6,4,0,0,0,0,0,0,0
26,1,7,3,0,0,0,0,0,0,0
27,1,8,3,0,0,0,0,0,0,0
28,1,9,3,0,0,0,0,0,0,0
29,1,10,3,0,0,0,0,0,0,0
30,1,11,3,0,0,0,0,0,0,0
31,1,12,3,0,0,0,0,0,0,0
32,1,13,3,0,0,0,0,0,0,0
33,1,14,3,0,0,0,0,0,0,0
34,1,15,3,0,0,0,0,0,0,0
35,1,16,3,0,0,0,0,0,0,0
36,1,17,3,0,0,0,0,0,0,0
37,1,18,3,0,0,0,0,0,0,0
38,1,19,3,0,0,0,0,0,0,0
39,1,20,4,0,0,0,0,0,0,0
40,1,21,3,0,0,0,0,0,0,0
41,1,22,3,0,0,0,0,0,0,0
42,1,23,3,0,0,0,0,0,0,0
43,2,0,11,0,0,0,0,1,0,9
44,2,1,14,3,0,0,0,1,0,19
45,2,2,14,5,0.03,0.41,0.03,0.54,0,37
46,2,3,14,3,0,0.45,0,0.55,0,38
47,2,4,14,3,0,0.61,0,0.39,0,23
48,2,5,14,2,0.17,0,0,0.83,0,6
49,2,6,9,0,0,0,0,0,0,0
50,2,7,9,0,0,1,0,0,0,1
51,2,8,11,0,0,0,0,1,0,15
52,2,9,11,3,0.15,0.04,0,0.81,0,27
53,2,10,11,3,0.22,0,0,0.78,0,32
54,2,11,11,3,0.14,0,0,0.86,0,7
55,2,12,11,2,0,0,0,1,0,12
56,2,13,11,2,0,0,0,1,0,13
57,2,14,10,0,0,0,0,0,0,0
58,2,15,13,0,0,0,0,0,0,0
59,2,16,13,2,0,0.57,0,0.43,0,35
60,2,17,12,3,0,0.46,0,0.54,0,39
61,2,18,14,3,0,0.1,0,0.9,0,31
62,2,19,13,2,0,0,0,1,0,18
63,2,20,13,0,0,0,0,1,0,11
64,2,21,13,0,0,0,0,1,0,5
65,2,22,13,0,0,0,0,0,0,0
66,2,23,13,0,0,0,0,0,0,0
67,3,0,13,3,0,0.29,0,0.71,0,41
68,3,1,13,4,0,0.55,0,0.45,0,33
69,3,2,13,3,0,0,0,1,0,15
70,3,3,13,3,0,0,0,1,0,13
71,3,4,13,3,0,0,0,1,0,27
72,3,5,13,2,0,0,0,1,0,8
73,3,6,18,0,0,0,0,0,0,0
74,3,7,12,0,0,1,0,0,0,2
75,3,8,12,0,0,1,0,0,0,9
76,3,9,12,4,0.12,0.82,0,0.06,0,17
77,3,10,12,3,0.56,0.33,0,0,0.11,9
78,3,11,12,2,0.67,0,0,0.33,0,3
79,3,12,12,3,0.33,0.67,0,0,0,9
80,3,13,12,3,0.5,0,0,0,0.5,2
81,3,14,9,0,0,0,0,0,0,0
82,3,15,12,3,0.14,0,0,0.86,0,7
83,3,16,12,4,0.26,0,0,0.74,0,34
84,3,17,12,2,0.9,0,0,0.1,0,10
85,3,18,14,4,0.43,0.57,0,0,0,21
86,3,19,15,5,0.11,0.44,0,0.33,0.11,18
87,3,20,14,5,0.13,0.28,0,0.53,0.06,47
88,3,21,14,4,0.11,0.37,0,0.53,0,19
89,3,22,21,0,0,0,0,0,0,0
90,3,23,16,4,0.2,0.53,0,0.2,0.07,15
91,4,0,16,4,0.14,0.38,0,0.45,0.02,42
92,4,1,16,3,0.13,0.23,0,0.5,0.13,30
93,4,2,16,2,0,0,0,0.7,0.3,10
94,4,3,16,3,0.08,0,0,0.42,0.5,12
95,4,4,16,3,0.05,0.05,0,0.58,0.32,19
96,4,5,16,2,0,0,0,0.6,0.4,5
97,4,6,20,0,0,0,0,0,0,0
98,4,7,14,0,1,0,0,0,0,1
